Index,Manufacturer Part Number,Manufacturer Name,Description,Attrition %,Requested Quantity 1,Pack Quantity 1,Pack Type 1,Digi-Key Part Number 1,Unit Price 1,Extended Price 1,Minimum Order Quantity 1,Part Status
1,NE5534P,Texas Instruments,IC OPAMP GP 1 CIRCUIT 8DIP,,1,1,Tube,296-7043-5-ND,"9,31000","kr 9,31",1,Active
2,LM386N-4/NOPB,Texas Instruments,IC AMP CLASS AB MONO 1W 8DIP,,1,1,Tube,296-43960-5-ND,"11,16000","kr 11,16",1,Active
3,P120PK-Y25BR10K,TT Electronics/BI,POT 10K OHM 1/20W PLASTIC LINEAR,,1,1,Tray,987-1710-ND,"5,79000","kr 5,79",1,Active
4,5100H7FL,Visual Communications Company - VCC,"LED YELLOW 1/4"" HOLE PANEL MOUNT",,1,1,Bulk,L20697-ND,"38,01000","kr 38,01",1,Active
5,7105D,Electroswitch,SWITCH TOGGLE SPST 6A 125V,,1,1,Bulk,451-1158-ND,"31,63000","kr 31,63",1,Active
6,FG22X5R1A476MNT06,TDK Corporation,CAP CER 47UF 10V X5R RADIAL,,2,2,Cut Tape (CT),445-173314-1-ND,"12,17000","kr 24,34",1,Active
7,MRS16000C5602FCT00,Vishay Beyschlag/Draloric/BC Components,RES 56K OHM 0.4W 1% AXIAL,,2,2,Cut Tape (CT),56-MRS16000C5602FCT00CT-ND,"1,93000","kr 3,86",1,Active
8,1N4148-G,Comchip Technology,DIODE GEN PURP 75V 150MA DO35,,2,2,Cut Tape (CT),641-1313-1-ND,"1,43000","kr 2,86",1,Active
9,C320C106K3R5TA,KEMET,CAP CER RAD 10UF 25V X7R 10%,,1,1,Bulk,C320C106K3R5TA-ND,"29,20000","kr 29,20",1,Active
10,C320C102K3G5TA,KEMET,CAP CER RAD 1NF 25V C0G 10%,,1,1,Bulk,C320C102K3G5TA-ND,"3,61000","kr 3,61",1,Active
11,PLV1D221MDL1TD,Nichicon,CAP ALUM POLY 220UF 20% 20V T/H,,1,1,Cut Tape (CT),493-3861-1-ND,"23,66000","kr 23,66",1,Active
12,CF12JT470R,Stackpole Electronics Inc,RES 470 OHM 1/2W 5% AXIAL,,1,1,Cut Tape (CT),CF12JT470RCT-ND,"0,84000","kr 0,84",1,Active
13,RNF14FTD100R,Stackpole Electronics Inc,RES 100 OHM 1/4W 1% AXIAL,,1,1,Cut Tape (CT),RNF14FTD100RCT-ND,"0,84000","kr 0,84",1,Active
14,RNF14FTD10R0,Stackpole Electronics Inc,RES 10 OHM 1/4W 1% AXIAL,,1,1,Cut Tape (CT),RNF14FTD10R0CT-ND,"0,84000","kr 0,84",1,Active
15,RL81V101MDN1KX,Nichicon,CAP ALUM POLY 100UF 20% 35V T/H,,1,1,Cut Tape (CT),493-6630-1-ND,"17,79000","kr 17,79",1,Active
16,FA16C0G2A104JRU06,TDK Corporation,CAP CER 100NF 100V C0G/NP0 RAD,,1,1,Cut Tape (CT),445-175390-1-ND,"10,49000","kr 10,49",1,Active
17,FK20X7S1H475KR000,TDK Corporation,CAP CER 4.7UF 50V X7S RADIAL,,1,1,Bulk,445-FK20X7S1H475KR000-ND,"7,47000","kr 7,47",1,Not For New Designs
18,K104K10X7RF5UH5,Vishay Beyschlag/Draloric/BC Components,CAP CER 0.1UF 50V X7R RADIAL,,1,1,Cut Tape (CT),BC2665CT-ND,"1,93000","kr 1,93",1,Active
19,S503Z69Z5UL63L0R,Vishay Beyschlag/Draloric/BC Components,CAP CER 0.05UF 500V Z5U RADIAL,,1,1,Bulk,BC5192-ND,"9,90000","kr 9,90",1,Active
20,FG26X5R1E336MRT06,TDK Corporation,CAP CER 33UF 25V X5R RADIAL,,1,1,Cut Tape (CT),445-173432-1-ND,"8,56000","kr 8,56",1,Active
21,HH-3449,Bud Industries,"BATTERY CONNECT SNAP 9V 6"" LEADS",,1,1,Bag,377-1549-ND,"10,91000","kr 10,91",1,Active
22,AB2025B-LW100-R,"PUI Audio, Inc.",BUZZER ELEMENT STD 2.5KHZ 20MM,,2,2,Bag,668-1403-ND,"13,76000","kr 27,52",1,Active
23,1-2199298-2,TE Connectivity AMP Connectors,CONN IC DIP SOCKET 8POS TIN,,2,2,Tube,A120347-ND,"1,51000","kr 3,02",1,Active
24,VR25000001004FA500,Vishay Beyschlag/Draloric/BC Components,RES 1M OHM 1% 1/4W AXIAL,,1,1,Cut Tape (CT),BC4867CT-ND,"3,52000","kr 3,52",1,Active
25,MBA02040C4701FCT00,Vishay Beyschlag/Draloric/BC Components,RES 4.7K OHM 0.4W 1% AXIAL,,1,1,Cut Tape (CT),BC3275CT-ND,"1,85000","kr 1,85",1,Active
26,MJ-3536N,CUI Devices,CONN JACK MONO 3.5MM R/A,,1,1,Bag,CP-3536N-ND,"6,80000","kr 6,80",1,Active
